evidence_id,assessment_id,farm_id,region,farm_centroid_lat,farm_centroid_lon,photo_lat,photo_lon,distance_to_centroid_km,capture_timestamp,upload_timestamp,time_delta_seconds,perceptual_dhash,evidence_classification,is_anomaly,anomaly_type
ac5b5e4a-0601-5c78-bce5-25317ec89807,871a1c9c-a75c-52fe-a33b-617d639da5de,92b0517c-b047-5780-9959-ff1b7b61f471,Western Kenya,0.635921,35.111418,0.634456,35.112533,0.2043,2026-07-15T00:56:55.466764+00:00,2026-07-15T01:23:55.466764+00:00,1620.0,1a1929634f783742,B,0,clean
aa99bf83-b4d7-5792-9833-28640d6b61f2,b4dec551-8208-5453-912e-589bf3692782,41c99529-6a7c-5946-83d6-9a68b7a2e328,Eastern Semi-Arid,-0.38798,37.561452,1.11202,39.561452,277.5,2026-06-26T19:56:55.466764+00:00,2026-06-26T21:51:55.466764+00:00,6900.0,1ebc363c76d86a89,A,1,gps_geofence_breach
cc50fd20-59b3-5c60-8b7b-ff4a11bc80c4,fa1c0ec5-b016-5038-a16d-42f9a22cd25d,6fd01488-9fa8-54cf-90f6-a1940173f1ad,Eastern Semi-Arid,-1.844262,37.273473,-1.84251,37.269498,0.4822,2026-08-01T20:56:55.466764+00:00,2026-08-01T21:33:55.466764+00:00,2220.0,48c6c68b43287d3c,C,0,clean
462151e4-ce6f-5ca6-beac-0d8cc71ab7b5,107e75c6-e4b7-57d5-bd71-43c365265f8b,469f0080-90a5-518a-8922-d9ba63976053,Western Kenya,0.078265,34.582518,0.075227,34.577624,0.6394,2026-07-29T11:56:55.466764+00:00,2026-07-29T12:39:55.466764+00:00,2580.0,415f10c4d1afabac,D,0,clean
87405aa0-8bca-5876-a0e3-2cb97dfbbd06,afe97597-8da4-5f20-b50a-3c9b624d0652,3f3edc20-bcb1-5687-8d69-a7cffeebb82e,Eastern Semi-Arid,-0.431101,37.715746,-0.430827,37.716505,0.0895,2026-07-20T01:56:55.466764+00:00,2026-07-20T02:47:55.466764+00:00,3060.0,a567d7ead7fc580e,B,0,clean
e0e18cb5-ddfa-5c1d-9b2b-265f02acac0b,00deb09c-46c6-527b-af0e-805bf621206f,ead843ac-7cb8-523b-8d81-e9c3eddd4c7e,Western Kenya,0.831611,34.429548,0.830928,34.432792,0.368,2026-07-15T20:56:55.466764+00:00,2026-07-15T22:27:55.466764+00:00,5460.0,3f78dc236dd7eafa,A,0,clean
6a4f8f7e-08d4-5e41-a588-0c7c548d9e22,2037e8ce-2e4f-5a6b-8032-6ba251f292d3,7777540e-befc-5e18-83a6-83491da0993b,Rift Valley,0.299106,35.411515,0.298368,35.414058,0.2939,2026-08-11T11:56:55.466764+00:00,2026-08-11T13:03:55.466764+00:00,4020.0,12c1797a11d57856,D,0,clean
953f0f26-9a68-5e76-b269-aa250e841404,f99db12b-8797-5bdd-b3ca-8301075b5950,280d3820-6aff-5deb-9de8-def150c2c841,Western Kenya,-0.252941,34.176617,-0.247316,34.175149,0.6453,2026-07-28T23:56:55.466764+00:00,2026-07-29T00:39:55.466764+00:00,2580.0,725e9770073ad1e3,B,0,clean
b514f0db-dc4f-5710-8ed6-dc15f0ec682e,38f4d602-dcd1-5876-9314-dab0bf28ee8c,9b41820c-6c6b-5940-93fc-944e5b46c00d,Coastal Lowlands,-4.127691,39.692383,-4.124774,39.694459,0.3973,2026-07-16T18:56:55.466764+00:00,2026-07-16T19:12:55.466764+00:00,960.0,5671ddf8a86cdc9a,A,0,clean
448adeb3-3ba7-52a8-b4b9-48c71857644a,8e4b4844-84a1-56de-8c8b-9d471e77ba8d,f75f7adb-8a86-55ca-8406-53ef006009bf,Eastern Semi-Arid,-1.209796,38.135195,-1.206611,38.135499,0.3551,2026-08-04T07:56:55.466764+00:00,2026-08-04T08:18:55.466764+00:00,1320.0,6ef2f83eb00b6df8,D,0,clean
9ecb97fa-3955-5566-8558-d9ea68dfc706,4f23c2af-e3de-5e5b-9f1b-504d6631f2e5,5e7613b7-6d52-5ee5-b693-89b41183d41d,Eastern Semi-Arid,-1.665803,38.689257,-1.670761,38.687835,0.5725,2026-07-14T05:56:55.466764+00:00,2026-07-14T07:24:55.466764+00:00,5280.0,6c36840c29cb9014,C,0,clean
a8b95410-fcba-5854-8e75-f84616fafdfa,92e30f15-5747-516f-b7ee-670e3cfa88c8,4c7de370-d11a-5439-b7f3-dc6cfad694db,Western Kenya,-0.418783,34.088903,-0.416547,34.093978,0.6156,2026-07-22T11:56:55.466764+00:00,2026-07-22T13:26:55.466764+00:00,5400.0,afa0340c999642b1,C,0,clean
d0ee46e7-cdd2-552c-9e1b-ac3acfbdaca0,3e58cd6c-f177-5886-8616-0b826bc3939c,acfc4358-76b6-590c-a8ad-3204fd52c5ad,Western Kenya,1.053764,35.187981,1.057617,35.186024,0.4797,2026-08-09T09:56:55.466764+00:00,2026-08-09T11:08:55.466764+00:00,4320.0,d15282697127eb14,B,0,clean
69fd0618-4a6d-5792-a401-6e7fa5763bbd,d0ec814a-ce21-55dd-a5b6-5212b627432d,1724006f-e9ac-55d5-826d-1f2616f0d031,Eastern Semi-Arid,-0.122275,38.243895,-0.126446,38.245092,0.4817,2026-07-16T03:56:55.466764+00:00,2026-07-16T04:05:55.466764+00:00,540.0,748d81a86596bf52,C,0,clean
c6c3379e-7424-58a6-b8a1-0e51ee3584e3,330fe860-640a-5807-b343-2287d8800f6e,326d6ba7-1e0a-5974-911e-8a7229a8f86d,Western Kenya,-0.246856,34.43506,-0.254847,34.431354,0.9777,2026-07-10T02:56:55.466764+00:00,2026-07-10T03:32:55.466764+00:00,2160.0,21c620ebb872e08c,C,0,clean
84fc0520-1c54-5636-8d9c-df03696a2732,2a0f3821-c11d-573a-86f0-556316064258,aab5cbaa-f6d6-54f8-9268-c472c9b99c62,Rift Valley,0.103971,35.170653,0.104228,35.169379,0.1443,2026-07-05T02:56:55.466764+00:00,2026-07-05T04:40:55.466764+00:00,6240.0,cd89974e79399c45,B,0,clean
8cb271eb-f52b-5f1b-854a-ed868c8d8eb5,b4ece34a-afab-5cb2-9153-2ba4f747dd39,77127a86-05a3-5fe7-9a2a-db432dcf98c9,Western Kenya,0.407302,34.661438,0.405065,34.659941,0.2988,2026-06-22T12:56:55.466764+00:00,2026-06-22T14:48:55.466764+00:00,6720.0,12078d2c38237f8c,D,0,clean
89056dc2-7bb1-580b-b3e8-b1fa89e4788b,0f694dbe-3703-54a8-acf6-d07e861e7ecf,8067886e-21c9-519c-93f0-ebad992b555d,Coastal Lowlands,-3.689799,40.194875,-3.690989,40.199639,0.5451,2026-07-19T16:56:55.466764+00:00,2026-07-19T18:11:55.466764+00:00,4500.0,e82ced5bf9ac1850,A,0,clean
